,Dominant Frequency (Hz)
# FP1-F7,10.303405572755418
C3-P3,1.585139318885449
C4-P4,3.170278637770898
CZ-PZ,2.3777089783281733
F3-C3,3.170278637770898
F4-C4,2.3777089783281733
F7-T7,1.585139318885449
F8-T8,1.585139318885449
FP1-F3,10.303405572755418
FP2-F4,2.3777089783281733
FP2-F8,3.170278637770898
FT10-T8,2.3777089783281733
FT9-FT10,3.170278637770898
FZ-CZ,3.170278637770898
P3-O1,1.585139318885449
P4-O2,1.585139318885449
P7-O1,3.170278637770898
P7-T7,1.585139318885449
P8-O2,3.170278637770898
T7-FT9,1.585139318885449
T7-P7,1.585139318885449
T8-P8-0,3.9628482972136228
T8-P8-1,3.9628482972136228
