,Frequency Entropy
# FP1-F7,0.8779716573105655
C3-P3,1.8741386838618677
C4-P4,0.9449130956308465
CZ-PZ,0.6481083476145926
F3-C3,0.9569563370329115
F4-C4,0.5218655011414554
F7-T7,1.1770923612042459
F8-T8,1.824776862071225
FP1-F3,1.250057690785482
FP2-F4,0.7760730139493742
FP2-F8,0.8191674917178395
FT10-T8,1.2329486680915904
FT9-FT10,1.4097556071433104
FZ-CZ,0.9494889991765094
P3-O1,1.7573488340706194
P4-O2,1.947059191217012
P7-O1,1.3919242924554416
P7-T7,1.5542269694099005
P8-O2,1.7503902133078042
T7-FT9,1.770838913995409
T7-P7,1.554203614982229
T8-P8-0,0.7087946295706875
T8-P8-1,0.7087946295706875
