,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,2.6535191711032587e-05,4.925808454206106e-05,2.50438023351527e-08,2.0690030361202125,8.193564271582446e-08,5.50594566741851e-06,9.399866854054699e-10,2.8463115335487608
C3-P3,2.392767400210086e-05,1.2945169964877657e-05,5.920888068563072e-09,2.0066385417452923,7.138810414500019e-08,3.956952025991432e-06,4.855395335197446e-10,3.0433641949459775
C4-P4,4.411877966332241e-05,3.0236460811589465e-05,2.288568225113261e-08,1.890006797760329,1.9202309651125045e-07,4.032420554885296e-06,5.052159404327113e-10,2.755873231099693
CZ-PZ,7.579239875644199e-05,5.358578672649006e-05,6.89273939868191e-08,1.9528726973302233,-4.399605208165647e-08,2.8647847846436776e-06,2.5447675296266553e-10,3.058054695130133
F3-C3,5.124072269005057e-05,3.594803609521677e-05,3.1342983687213364e-08,1.9114634792705203,-1.2635501801887606e-07,5.230864681109839e-06,8.487152379824877e-10,2.9398084673615825
F4-C4,4.96927795047373e-05,5.266380055397771e-05,4.1942785789564655e-08,2.0248420582044746,-2.9611564251027647e-07,3.7297871139915694e-06,4.3396888807254176e-10,2.9520709088956214
F7-T7,2.4072911318206597e-05,2.0875530890232264e-05,8.122342794266245e-09,1.956839724393144,-1.2166255180111852e-08,2.309599510622913e-06,1.653663354342759e-10,2.809467655342212
F8-T8,6.095555006873547e-05,5.739419501007317e-05,5.6077381640291394e-08,1.9579959557256432,-5.867932013468463e-07,9.35350827336904e-06,2.722805741715028e-09,2.9213740595941453
FP1-F3,-3.62247599711032e-05,2.4096337901606748e-05,1.5142933881859607e-08,1.876786019999093,1.3343804840817157e-07,6.2437835097186715e-06,1.2090817850989313e-09,2.870639706099326
FP2-F4,6.407122622843276e-05,6.59465100138932e-05,6.763251370742021e-08,2.0082859422742594,-1.9441614108888967e-07,7.780210843812683e-06,1.877653830712986e-09,2.6440453687716117
FP2-F8,5.042232462880362e-05,9.779042161809682e-05,9.684301904974074e-08,2.068559960053835,-3.190154845059074e-07,8.633014837555276e-06,2.3135521980089267e-09,3.0960881784113203
FT10-T8,5.203500778373722e-06,3.535597823987956e-05,1.0216972941194979e-08,1.9564252068844463,-3.114051553894683e-07,4.180209687800699e-06,5.447049123483646e-10,2.953118006993525
FT9-FT10,-4.768093123453663e-05,1.8061842413366205e-05,2.0797610838063087e-08,2.0213160679271858,-2.919607793262787e-07,1.0166786311191813e-05,3.2069123348171635e-09,2.8312597153686587
FZ-CZ,6.450260905290845e-05,3.353179685577441e-05,4.2279743800074155e-08,1.8843821800094358,-8.81883159760717e-09,4.2874662278154975e-06,5.698557772199253e-10,2.894717225046933
P3-O1,6.89454875778542e-05,2.34357723936015e-05,4.2421725480261946e-08,2.0006030369809347,7.4709514714124e-08,5.521269380951557e-06,9.451899097472822e-10,2.8973137342602815
P4-O2,-5.466621329610083e-05,7.459001572185952e-06,2.4352252644709307e-08,2.0693183980178613,-2.2771200911871402e-07,5.313900884905257e-06,8.769712565845063e-10,3.2312546141035168
P7-O1,3.4568809487948215e-05,1.1115829283707532e-05,1.0548514000628707e-08,2.019955638091877,3.305410422937113e-08,2.9941111070415732e-06,2.779396107485998e-10,3.0073276156982662
P7-T7,-1.8227202285852596e-05,1.1945739494385037e-05,3.7994527618968054e-09,1.9990093408539311,2.8034092173519203e-08,2.331993186279286e-06,1.6860832206648738e-10,3.1371135041641507
P8-O2,-7.873041430062792e-05,3.1046201463663406e-05,5.729875809016714e-08,1.9506081750877258,-3.3144369593748253e-07,9.59083844516939e-06,2.854915147152393e-09,3.100960314970361
T7-FT9,3.2288278075664634e-05,9.276735171601793e-06,9.028725732283835e-09,2.0439602169512363,7.660214954161236e-08,6.488094369098931e-06,1.3051383293810771e-09,2.8514066400595266
T7-P7,1.9334350275345375e-05,1.1947472588413292e-05,4.132473614565078e-09,1.9954633923275553,-2.787167531524271e-08,2.332416081465983e-06,1.6866918982834633e-10,3.1373333174457283
T8-P8-0,6.873827842189507e-05,2.5448286357487294e-05,4.298052959150911e-08,1.990271606223788,8.2907999090837e-07,4.510728917745752e-06,6.520555190220838e-10,2.6787835086765615
T8-P8-1,6.873827842189507e-05,2.5448286357487294e-05,4.298052959150911e-08,1.990271606223788,8.2907999090837e-07,4.510728917745752e-06,6.520555190220838e-10,2.6787835086765615
