,Dominant Frequency (Hz)
# FP1-F7,2.543046357615894
C3-P3,1.695364238410596
C4-P4,2.543046357615894
CZ-PZ,2.543046357615894
F3-C3,5.086092715231788
F4-C4,4.23841059602649
F7-T7,2.543046357615894
F8-T8,4.23841059602649
FP1-F3,1.695364238410596
FP2-F4,1.695364238410596
FP2-F8,10.172185430463577
FT10-T8,4.23841059602649
FT9-FT10,2.543046357615894
FZ-CZ,4.23841059602649
P3-O1,1.695364238410596
P4-O2,1.695364238410596
P7-O1,5.086092715231788
P7-T7,2.543046357615894
P8-O2,1.695364238410596
T7-FT9,1.695364238410596
T7-P7,2.543046357615894
T8-P8-0,1.695364238410596
T8-P8-1,1.695364238410596
