,Frequency Entropy
# FP1-F7,0.8425773445469795
C3-P3,1.0179740909278532
C4-P4,0.6336178007512794
CZ-PZ,0.5555092606444842
F3-C3,0.6985298239735795
F4-C4,0.2805838687441504
F7-T7,0.9271798845711866
F8-T8,0.8610651788929088
FP1-F3,0.4929348517002361
FP2-F4,0.24557619137892045
FP2-F8,0.9453839853708144
FT10-T8,0.5560382432658874
FT9-FT10,0.9552517265045728
FZ-CZ,0.8890781712805075
P3-O1,0.8651755096855884
P4-O2,1.2510003954215405
P7-O1,1.0847246895210207
P7-T7,1.0616790059751033
P8-O2,1.0331960273724108
T7-FT9,1.2205147988345837
T7-P7,1.0621785658549006
T8-P8-0,0.8040990478549742
T8-P8-1,0.8040990478549742
