,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,2.6493794889100504e-05,4.9379986019675145e-05,2.5122433495432324e-08,2.0664113361253684,-3.710950996074008e-07,5.924178311000294e-06,9.865408065374096e-10,2.8202396806910373
C3-P3,2.5909887308446172e-05,8.393763234278716e-06,5.934220172556072e-09,2.0157286043997016,1.590744808409117e-07,4.06255149638757e-06,4.6282962183515944e-10,2.9289746190828554
C4-P4,4.3650772304345696e-05,3.125485918669024e-05,2.3058049164365347e-08,1.9188819059668782,-1.0614962693630605e-07,4.382046280039275e-06,5.379807256237336e-10,2.7665229271851204
CZ-PZ,7.926169241344857e-05,4.6448797007489154e-05,6.751925302149652e-08,1.9143344147342358,-2.8107442744458873e-07,3.027982196799667e-06,2.5893501250117315e-10,3.033822986770954
F3-C3,5.06866007470717e-05,3.696112356885613e-05,3.148204920612241e-08,1.9216490740215724,-4.619627579981957e-07,5.566907119926045e-06,8.737082052064965e-10,2.8765424672257565
F4-C4,5.120061507907311e-05,4.9767536923313224e-05,4.078648572711002e-08,2.011505426608901,-4.69472213631423e-07,4.302289462973942e-06,5.244427659124809e-10,2.9488865022975723
F7-T7,2.543914721986723e-05,1.8408309447472167e-05,7.888128543903773e-09,1.8887602176628793,-1.6532326679741991e-07,2.6546503674389865e-06,1.9808600996487848e-10,2.8783047429822135
F8-T8,6.62134708948647e-05,4.7455910274030556e-05,5.3090297183055466e-08,1.8770867434108416,-6.216759640849093e-07,9.813877288997375e-06,2.7075627165389425e-09,2.795176506865549
FP1-F3,-3.878844741876775e-05,2.8050280220608908e-05,1.8330894988905546e-08,1.8422285009589352,-3.023011816148791e-07,6.4081169289071775e-06,1.1523497602106705e-09,2.7879728990649704
FP2-F4,5.9243128229477494e-05,7.416644221028505e-05,7.208327514036694e-08,2.038826164725541,-6.595675068280764e-07,7.816165881679487e-06,1.7227693948078293e-09,2.6416625928108717
FP2-F8,4.750304347176801e-05,0.00010333149119593671,1.0347148969485301e-07,2.0617131027351947,-1.0210033008327293e-06,8.727151735492152e-06,2.161757504329219e-09,3.0131307369540634
FT10-T8,8.401285705787313e-06,2.9038951003249012e-05,7.310738215034904e-09,2.002317447860702,-2.4918139715471094e-07,4.2651491702724425e-06,5.11100486774183e-10,2.7952138635519144
FT9-FT10,-4.0827330145373666e-05,1.2844356010024301e-06,1.334816529289968e-08,2.0789491650722423,1.7191432179332382e-07,1.013782630187412e-05,2.8785421465082346e-09,2.709644185982033
FZ-CZ,6.420096829939104e-05,3.4085943448312756e-05,4.226892697072791e-08,1.8625659933860883,-1.2688173886710785e-07,4.7376093797191975e-06,6.289091650929154e-10,2.85600104140625
P3-O1,7.351869263103556e-05,1.3183243888834556e-05,4.463036868487341e-08,2.0619801800810387,4.011031571564534e-07,5.659393745046365e-06,9.013093965162221e-10,2.8045347644283023
P4-O2,-5.4320785855549256e-05,7.270636636515222e-06,2.402887946451742e-08,2.069841660292988,-1.7438582346294795e-07,5.640955738785565e-06,8.91822177746154e-10,3.0875934105673024
P7-O1,3.416101237469361e-05,1.1926047245123572e-05,1.0473642954855115e-08,2.005865576536115,2.2300252235520307e-07,3.2140334638812463e-06,2.906327544939074e-10,2.87296825223343
P7-T7,-2.0802848006715e-05,6.8700156238843014e-06,3.839644798903205e-09,2.0181710043656143,1.2178623754426651e-08,2.2529944335408385e-06,1.4213170262039155e-10,3.075573562310154
P8-O2,-8.695394500807602e-05,1.2793988752707196e-05,6.179739760537526e-08,2.0681430649187775,-4.940973794840051e-07,9.358953545496919e-06,2.4593560232411043e-09,2.9120864191609446
T7-FT9,3.0036237185920246e-05,3.708447728713615e-06,7.327425030763676e-09,2.072151137083924,-3.3638650797976544e-07,6.918513890559105e-06,1.3434117294250829e-09,2.779291816730423
T7-P7,2.190976802601466e-05,6.872492687518809e-06,4.21815272555019e-09,2.0246240638445436,-1.1911315916391268e-08,2.253341723847912e-06,1.4217534250866071e-10,3.075810297528643
T8-P8-0,7.143535112293084e-05,1.9860339577255536e-05,4.397953982544255e-08,2.0355226878974504,7.701810342962982e-07,4.848786145546517e-06,6.749093655033399e-10,2.627568473810728
T8-P8-1,7.143535112293084e-05,1.9860339577255536e-05,4.397953982544255e-08,2.0355226878974504,7.701810342962982e-07,4.848786145546517e-06,6.749093655033399e-10,2.627568473810728
