,Delta,Theta,Alpha,Beta,Gamma
# FP1-F7,8.915447933499494e-09,3.173762347611365e-09,1.2617465076296206e-09,1.1461125638485274e-09,6.564962059474875e-10
C3-P3,4.801370104083467e-09,2.389745066899863e-09,1.3066744151552787e-09,7.577152976222841e-10,1.9092830754397547e-10
C4-P4,6.208280061027569e-09,1.995163572514073e-09,9.223997379644333e-10,7.60052913064715e-10,2.4920552311585455e-10
CZ-PZ,5.9317124366820786e-09,2.2242459908909883e-09,9.046374863218742e-10,6.660992283604342e-10,1.5990361114972575e-10
F3-C3,1.0061227558254555e-08,3.902918755946067e-09,1.4704678450442298e-09,9.353455885854034e-10,2.2895806304524391e-10
F4-C4,8.512501421030756e-09,3.015187970164504e-09,1.1760928670210583e-09,9.452967367498107e-10,3.089192832994905e-10
F7-T7,9.152283339310064e-09,4.123855742248269e-09,1.6389860157714076e-09,1.6095231842315991e-09,7.836711015150032e-10
F8-T8,6.905580543216855e-09,2.415518533337392e-09,1.0623114375728933e-09,1.2014261120805678e-09,7.829686168855016e-10
FP1-F3,9.621171151144454e-09,3.1686709269344196e-09,1.3458641820016346e-09,1.5801013443533156e-09,7.954980592357193e-10
FP2-F4,1.0647315361458589e-08,2.7893618106119693e-09,1.1595307755365646e-09,1.427962161349207e-09,7.189648250173533e-10
FP2-F8,8.680037533913809e-09,2.7007904045219833e-09,1.014113803518983e-09,1.0159589129699297e-09,6.454054348963927e-10
FT10-T8,2.9176799491919415e-09,1.117863341381639e-09,4.664921551615303e-10,6.978657397269473e-10,5.190509797123016e-10
FT9-FT10,1.1151852268887274e-08,4.738109146580271e-09,1.4417180013570453e-09,1.2055090702234987e-09,5.016738676174269e-10
FZ-CZ,8.970356751020101e-09,3.2369834090365706e-09,1.14615224844232e-09,6.665285516225908e-10,9.489972535752417e-11
P3-O1,6.811010281057098e-09,4.0421399311819776e-09,1.4395301089634684e-09,1.198292226254244e-09,2.9943925818165034e-10
P4-O2,6.402168961739485e-09,2.748388163123848e-09,1.3010543787983893e-09,1.038819849038199e-09,3.026587326811445e-10
P7-O1,6.625226084567235e-09,3.0645329790294864e-09,1.2350260366851293e-09,1.7788542068927025e-09,7.972364893881964e-10
P7-T7,5.924101717628606e-09,5.4286502550789844e-09,1.5395004648157701e-09,1.931127248206778e-09,1.1575831529529134e-09
P8-O2,4.9812798688945265e-09,1.874846764619386e-09,1.146937837363923e-09,2.0255717643418785e-09,1.072230046888031e-09
T7-FT9,5.76311210363406e-09,2.7239134460248237e-09,8.951641468054855e-10,9.62603239484487e-10,5.567863915179186e-10
T7-P7,5.924098702708417e-09,5.428650968362354e-09,1.5395001077852078e-09,1.9311267905286363e-09,1.157584082594306e-09
T8-P8-0,6.044499037045191e-09,2.688342011918751e-09,1.2269606979457564e-09,1.995989432625369e-09,1.2818407304631295e-09
T8-P8-1,6.044499037045191e-09,2.688342011918751e-09,1.2269606979457564e-09,1.995989432625369e-09,1.2818407304631295e-09
