,Dominant Frequency (Hz)
# FP1-F7,5.638766519823789
C3-P3,1.1277533039647578
C4-P4,12.405286343612335
CZ-PZ,1.1277533039647578
F3-C3,3.3832599118942737
F4-C4,10.7136563876652
F7-T7,4.511013215859031
F8-T8,1.6916299559471368
FP1-F3,1.1277533039647578
FP2-F4,12.969162995594715
FP2-F8,12.969162995594715
FT10-T8,1.1277533039647578
FT9-FT10,4.511013215859031
FZ-CZ,3.3832599118942737
P3-O1,1.1277533039647578
P4-O2,1.1277533039647578
P7-O1,1.1277533039647578
P7-T7,1.6916299559471368
P8-O2,1.1277533039647578
T7-FT9,2.8193832599118944
T7-P7,1.6916299559471368
T8-P8-0,1.1277533039647578
T8-P8-1,1.1277533039647578
