,Frequency Entropy
# FP1-F7,0.47298646914213716
C3-P3,1.0768276131058554
C4-P4,0.950539801994016
CZ-PZ,1.2168848583620508
F3-C3,0.30409237758625257
F4-C4,0.6932337856316902
F7-T7,0.9778290824407141
F8-T8,1.190942020606832
FP1-F3,0.8175749496578192
FP2-F4,0.5689357910046798
FP2-F8,0.9265103982600739
FT10-T8,0.801705780186623
FT9-FT10,1.2018963315544577
FZ-CZ,0.3506028238374023
P3-O1,0.6454661986674443
P4-O2,0.956521995388262
P7-O1,1.1315806909552264
P7-T7,0.8657593209013636
P8-O2,1.190467510907117
T7-FT9,1.0831853373705869
T7-P7,0.8658581355263231
T8-P8-0,0.8511943776977992
T8-P8-1,0.8511943776977992
