,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,5.137192914602534e-05,1.0261807900927299e-05,1.9210658639058465e-08,1.924223864756916,-4.251498184864838e-08,3.0545235420316763e-06,1.9597035344265393e-10,2.675007898865104
C3-P3,2.9601204605997008e-05,7.471707488510722e-07,6.13752704777826e-09,1.9455895630438707,1.0559843852508352e-07,1.7552050060171313e-06,6.492980851069723e-11,2.6239828689330267
C4-P4,6.327074375652877e-05,5.566700761520219e-06,2.8239226210108443e-08,1.9421428081221244,1.638113199573035e-08,1.5768083184466938e-06,5.2218449106771186e-11,2.5391292441702467
CZ-PZ,0.00010044637256208582,1.2222536505433517e-05,7.167204911655598e-08,1.938155240385841,2.8822652588355518e-08,3.1625488378715277e-06,2.1005346384172038e-10,2.7209542560031985
F3-C3,6.892142873772478e-05,9.982744191469611e-06,3.3948729645891175e-08,1.934827886473007,-7.2474946146818e-08,4.688020013317412e-06,4.616384695247551e-10,2.3287213251990915
F4-C4,7.265110269118937e-05,1.933076436291126e-05,3.956302821170101e-08,1.9059778043508606,2.9994977833827096e-08,5.787432635632441e-06,7.034008004242532e-10,2.408436264164211
F7-T7,3.3564842411556574e-05,7.771022185946476e-06,8.308912023489695e-09,1.916300167437497,-3.2775349907087705e-08,2.532872305227958e-06,1.3474684310119877e-10,2.535238603238823
F8-T8,8.299177359378996e-05,2.8448562806542384e-05,5.387868647000475e-08,1.8759564414582557,7.554107984518457e-08,9.92945245659786e-06,2.0705943833942104e-09,2.482884687575086
FP1-F3,-2.661119473134477e-05,1.1697067913311964e-05,5.914839579587287e-09,1.8579180696840853,-4.251596789876085e-09,3.0240719482927624e-06,1.920456137150554e-10,2.65400352255472
FP2-F4,9.187948587774177e-05,2.8885593308551112e-05,6.493352198161615e-08,1.8882938983565583,-1.3873723670483448e-08,7.789829247204715e-06,1.274314275797104e-09,2.3068092693070295
FP2-F8,9.649907066059967e-05,2.7499030308567602e-05,7.04778711438965e-08,1.8995197465982738,-3.76108520869322e-08,8.85441703439619e-06,1.6464444274992023e-09,2.6087842870393962
FT10-T8,1.999671327241636e-05,1.3641561428763658e-05,4.101725179397755e-09,1.8069472082023494,-2.9519556091238676e-08,3.7859546996759496e-06,3.0102081223599493e-10,2.3953867479621325
FT9-FT10,-4.262249889171024e-05,4.9921101929222975e-06,1.2891190031664835e-08,1.939286303368239,7.844275503317269e-08,1.5677476455791594e-06,5.174370486676003e-11,2.795671372343055
FZ-CZ,8.219088143555033e-05,6.3537375209787936e-06,4.756997680146732e-08,1.9428389241097421,-1.2520426511772397e-08,3.2934475324405225e-06,2.277860216103907e-10,2.530540797469097
P3-O1,8.228338141966981e-05,4.978453167225567e-06,4.756737897655186e-08,1.9441112814960777,-3.8689263181759266e-08,3.5875229210651538e-06,2.7030816893332143e-10,2.3650896744601466
P4-O2,-5.4570644915680024e-05,4.40733926597139e-06,2.0981659481430246e-08,1.9425694712930763,-2.1912490222167727e-07,7.416622781142155e-06,1.15614049321114e-09,2.7436722411401497
P7-O1,4.0986201115984174e-05,3.859359383328504e-06,1.1863343357387114e-08,1.9415881841908158,-1.3121247176715797e-08,3.3892671732257658e-06,2.4123338691129824e-10,2.464304443238005
P7-T7,-2.3427878684729044e-05,3.773611865349985e-06,3.94173952323684e-09,1.9320903104452196,-4.711490597155713e-08,1.6584901113526843e-06,5.7808994540206306e-11,2.7658596541408973
P8-O2,-9.267804669785218e-05,5.736153588670887e-06,6.035486658405463e-08,1.9439539422135856,-2.2403167576593115e-07,5.639903454478509e-06,6.690327245192871e-10,2.6378782471538527
T7-FT9,2.76147630983229e-05,2.547768675783888e-07,5.3384803656012456e-09,1.9458677965680895,2.5578026695389943e-08,1.6396420852774613e-06,5.647068846851568e-11,2.7172560750064627
T7-P7,2.4535036151849077e-05,3.7763927358977973e-06,4.3136039874779795e-09,1.933332892833079,4.722460969218036e-08,1.6611338231686024e-06,5.7993510586941644e-11,2.7658933963077525
T8-P8-0,8.58426247898721e-05,1.2109836748175253e-05,5.260923063817553e-08,1.9363265132693013,3.028988621199653e-08,7.194678608819476e-06,1.0870506729896369e-09,2.288143511628133
T8-P8-1,8.58426247898721e-05,1.2109836748175253e-05,5.260923063817553e-08,1.9363265132693013,3.028988621199653e-08,7.194678608819476e-06,1.0870506729896369e-09,2.288143511628133
